case:concept:name,concept:name,time:timestamp,org:resource,lifecycle:transition,case:applicant_type,case:priority,cost:amount
case_0007,review_in_progress,2024-01-25 09:00:00-05:00,reviewer_002,complete,new_business,normal,55.66
case_0007,health_inspection,2024-01-29 09:00:00-05:00,inspector_002,complete,new_business,normal,55.88
case_0007,approved,2024-02-01 09:00:00-05:00,,complete,new_business,normal,0.0
case_0008,submitted,2024-01-02 09:00:00-05:00,,complete,renewal,normal,0.0
case_0008,intake_validation,2024-01-04 09:00:00-05:00,clerk_001,complete,renewal,normal,23.41
case_0008,assigned_to_reviewer,2024-01-08 09:00:00-05:00,,complete,renewal,normal,0.0
case_0008,review_in_progress,2024-01-08 09:11:58.065121-05:00,reviewer_002,complete,renewal,normal,39.31
case_0008,health_inspection,2024-01-16 09:00:00-05:00,inspector_003,complete,renewal,normal,55.71
case_0008,rejected,2024-01-22 09:00:00-05:00,,complete,renewal,normal,0.0
case_0009,submitted,2024-01-02 09:00:00-05:00,,complete,renewal,high,0.0
case_0009,intake_validation,2024-01-04 09:00:00-05:00,clerk_002,complete,renewal,high,53.43
case_0009,assigned_to_reviewer,2024-01-05 16:00:32.759874-05:00,,complete,renewal,high,0.0
case_0009,review_in_progress,2024-01-05 16:12:54.652278-05:00,reviewer_002,complete,renewal,high,64.79
case_0009,health_inspection,2024-01-11 09:00:00-05:00,inspector_002,complete,renewal,high,48.28
case_0009,approved,2024-01-16 09:00:00-05:00,,complete,renewal,high,0.0
case_0010,submitted,2024-01-02 09:00:00-05:00,,complete,new_business,normal,0.0
case_0010,intake_validation,2024-01-04 09:00:00-05:00,clerk_003,complete,new_business,normal,41.47
case_0010,assigned_to_reviewer,2024-01-05 16:33:24.375388-05:00,,complete,new_business,normal,0.0
case_0010,review_in_progress,2024-01-05 16:43:51.963332-05:00,reviewer_003,complete,new_business,normal,50.7
case_0010,request_additional_info,2024-01-10 09:00:00-05:00,,complete,new_business,normal,0.0
case_0010,applicant_provided_info,2024-01-16 09:00:00-05:00,,complete,new_business,normal,0.0
case_0010,review_in_progress,2024-01-19 09:00:00-05:00,reviewer_004,complete,new_business,normal,57.55
case_0010,health_inspection,2024-01-22 09:00:00-05:00,inspector_002,complete,new_business,normal,44.01
case_0010,approved,2024-01-26 09:00:00-05:00,,complete,new_business,normal,0.0
case_0011,submitted,2024-01-02 09:00:00-05:00,,complete,renewal,high,0.0
case_0011,intake_validation,2024-01-03 10:45:29.726303-05:00,clerk_001,complete,renewal,high,38.83
case_0011,assigned_to_reviewer,2024-01-08 09:00:00-05:00,,complete,renewal,high,0.0
case_0011,review_in_progress,2024-01-08 09:14:52.119008-05:00,reviewer_004,complete,renewal,high,44.06
case_0011,health_inspection,2024-01-16 09:00:00-05:00,inspector_003,complete,renewal,high,30.24
case_0011,rejected,2024-01-19 09:00:00-05:00,,complete,renewal,high,0.0
case_0012,submitted,2024-01-02 09:00:00-05:00,,complete,new_business,low,0.0
case_0012,intake_validation,2024-01-04 09:00:00-05:00,clerk_002,complete,new_business,low,47.95
case_0012,assigned_to_reviewer,2024-01-08 09:00:00-05:00,,complete,new_business,low,0.0
case_0012,review_in_progress,2024-01-08 09:27:43.684547-05:00,reviewer_001,complete,new_business,low,40.09
case_0012,health_inspection,2024-01-10 15:10:59.704100-05:00,inspector_003,complete,new_business,low,42.39
case_0012,approved,2024-01-16 09:00:00-05:00,,complete,new_business,low,0.0
case_0013,submitted,2024-01-02 09:00:00-05:00,,complete,renewal,low,0.0
case_0013,intake_validation,2024-01-04 09:00:00-05:00,clerk_003,complete,renewal,low,41.13
case_0013,assigned_to_reviewer,2024-01-08 09:00:00-05:00,,complete,renewal,low,0.0
case_0013,review_in_progress,2024-01-08 09:13:23.892024-05:00,reviewer_004,complete,renewal,low,70.58
case_0013,health_inspection,2024-01-11 09:00:00-05:00,inspector_003,complete,renewal,low,25.35
case_0013,approved,2024-01-17 16:18:55.429232-05:00,,complete,renewal,low,0.0
case_0014,submitted,2024-01-02 09:00:00-05:00,,complete,renewal,high,0.0
case_0014,intake_validation,2024-01-04 09:00:00-05:00,clerk_003,complete,renewal,high,74.2
case_0014,assigned_to_reviewer,2024-01-08 09:00:00-05:00,,complete,renewal,high,0.0
case_0014,review_in_progress,2024-01-08 09:26:44.252201-05:00,reviewer_002,complete,renewal,high,53.8
case_0014,request_additional_info,2024-01-16 09:00:00-05:00,,complete,renewal,high,0.0
case_0014,applicant_provided_info,2024-01-22 12:38:14.741494-05:00,,complete,renewal,high,0.0
case_0014,review_in_progress,2024-01-25 09:00:00-05:00,reviewer_002,complete,renewal,high,53.03
case_0014,health_inspection,2024-01-29 09:00:00-05:00,inspector_003,complete,renewal,high,39.65
case_0014,approved,2024-02-05 09:00:00-05:00,,complete,renewal,high,0.0
case_0015,submitted,2024-01-02 09:00:00-05:00,,complete,existing_business,high,0.0
case_0015,intake_validation,2024-01-04 09:00:00-05:00,clerk_003,complete,existing_business,high,66.68
case_0015,assigned_to_reviewer,2024-01-08 09:00:00-05:00,,complete,existing_business,high,0.0
case_0015,review_in_progress,2024-01-08 09:23:29.104887-05:00,reviewer_003,complete,existing_business,high,84.64
case_0015,health_inspection,2024-01-12 09:00:00-05:00,inspector_001,complete,existing_business,high,49.78
case_0015,approved,2024-01-18 09:00:00-05:00,,complete,existing_business,high,0.0
case_0016,submitted,2024-01-02 09:00:00-05:00,,complete,new_business,normal,0.0
case_0016,intake_validation,2024-01-03 10:40:45.737281-05:00,clerk_002,complete,new_business,normal,49.16
case_0016,assigned_to_reviewer,2024-01-05 14:27:20.017501-05:00,,complete,new_business,normal,0.0
case_0016,review_in_progress,2024-01-05 14:40:32.481567-05:00,reviewer_002,complete,new_business,normal,39.73
case_0016,request_additional_info,2024-01-09 09:00:00-05:00,,complete,new_business,normal,0.0
case_0016,withdrawn,2024-01-16 09:00:00-05:00,,complete,new_business,normal,0.0
case_0017,submitted,2024-01-02 09:00:00-05:00,,complete,existing_business,normal,0.0
case_0017,intake_validation,2024-01-03 09:00:35.073190-05:00,clerk_002,complete,existing_business,normal,57.23
case_0017,assigned_to_reviewer,2024-01-08 09:00:00-05:00,,complete,existing_business,normal,0.0
case_0017,review_in_progress,2024-01-08 09:16:36.710111-05:00,reviewer_002,complete,existing_business,normal,71.75
case_0017,health_inspection,2024-01-11 09:00:00-05:00,inspector_002,complete,existing_business,normal,34.44
case_0017,approved,2024-01-16 09:00:00-05:00,,complete,existing_business,normal,0.0
case_0018,submitted,2024-01-02 09:00:00-05:00,,complete,new_business,normal,0.0
case_0018,intake_validation,2024-01-03 09:35:10.353500-05:00,clerk_002,complete,new_business,normal,53.42
case_0018,assigned_to_reviewer,2024-01-05 16:18:30.616129-05:00,,complete,new_business,normal,0.0
case_0018,review_in_progress,2024-01-05 16:41:13.366250-05:00,reviewer_002,complete,new_business,normal,45.28
case_0018,request_additional_info,2024-01-10 09:00:00-05:00,,complete,new_business,normal,0.0
case_0018,applicant_provided_info,2024-01-16 09:00:00-05:00,,complete,new_business,normal,0.0
case_0018,review_in_progress,2024-01-19 09:00:00-05:00,reviewer_004,complete,new_business,normal,45.22
case_0018,health_inspection,2024-01-22 14:35:23.726048-05:00,inspector_003,complete,new_business,normal,49.46
case_0018,approved,2024-01-29 09:00:00-05:00,,complete,new_business,normal,0.0
case_0019,submitted,2024-01-02 09:00:00-05:00,,complete,existing_business,high,0.0
case_0019,intake_validation,2024-01-04 09:00:00-05:00,clerk_003,complete,existing_business,high,19.44
case_0019,assigned_to_reviewer,2024-01-08 09:00:00-05:00,,complete,existing_business,high,0.0
case_0019,review_in_progress,2024-01-08 09:11:56.025222-05:00,reviewer_004,complete,existing_business,high,40.52
case_0019,health_inspection,2024-01-12 09:40:15.296589-05:00,inspector_001,complete,existing_business,high,47.34
case_0019,approved,2024-01-16 09:00:00-05:00,,complete,existing_business,high,0.0
case_0020,submitted,2024-01-02 09:00:00-05:00,,complete,renewal,normal,0.0
case_0020,intake_validation,2024-01-03 10:32:29.372702-05:00,clerk_002,complete,renewal,normal,61.65
case_0020,assigned_to_reviewer,2024-01-05 10:39:03.117626-05:00,,complete,renewal,normal,0.0
case_0020,review_in_progress,2024-01-05 11:06:46.085035-05:00,reviewer_003,complete,renewal,normal,65.88
case_0020,health_inspection,2024-01-08 14:30:00.847733-05:00,inspector_003,complete,renewal,normal,29.98
case_0020,approved,2024-01-16 09:00:00-05:00,,complete,renewal,normal,0.0
case_0021,submitted,2024-01-02 09:00:00-05:00,,complete,existing_business,normal,0.0
case_0021,intake_validation,2024-01-03 14:17:34.543190-05:00,clerk_002,complete,existing_business,normal,63.35
case_0021,assigned_to_reviewer,2024-01-08 09:00:00-05:00,,complete,existing_business,normal,0.0
case_0021,review_in_progress,2024-01-08 09:17:13.041815-05:00,reviewer_003,complete,existing_business,normal,52.46
case_0021,health_inspection,2024-01-10 11:13:42.746149-05:00,inspector_001,complete,existing_business,normal,44.94
case_0021,approved,2024-01-16 09:00:00-05:00,,complete,existing_business,normal,0.0
case_0022,submitted,2024-01-02 09:00:00-05:00,,complete,renewal,normal,0.0
case_0022,intake_validation,2024-01-04 09:00:00-05:00,clerk_003,complete,renewal,normal,43.67
case_0022,rejected,2024-01-08 09:00:00-05:00,,complete,renewal,normal,0.0
case_0023,submitted,2024-01-02 09:00:00-05:00,,complete,new_business,high,0.0
case_0023,intake_validation,2024-01-04 09:00:00-05:00,clerk_002,complete,new_business,high,50.98
case_0023,assigned_to_reviewer,2024-01-08 09:00:00-05:00,,complete,new_business,high,0.0
case_0023,review_in_progress,2024-01-08 09:09:01.758204-05:00,reviewer_003,complete,new_business,high,13.34
case_0023,request_additional_info,2024-01-11 09:00:00-05:00,,complete,new_business,high,0.0
case_0023,applicant_provided_info,2024-01-16 09:00:00-05:00,,complete,new_business,high,0.0
case_0023,review_in_progress,2024-01-19 09:00:00-05:00,reviewer_004,complete,new_business,high,57.0
case_0023,request_additional_info,2024-01-22 09:00:00-05:00,,complete,new_business,high,0.0
case_0023,applicant_provided_info,2024-01-29 09:00:00-05:00,,complete,new_business,high,0.0
case_0023,review_in_progress,2024-02-01 09:00:00-05:00,reviewer_003,complete,new_business,high,48.42
case_0023,request_additional_info,2024-02-05 09:00:00-05:00,,complete,new_business,high,0.0
case_0023,applicant_provided_info,2024-02-12 09:00:00-05:00,,complete,new_business,high,0.0
case_0023,review_in_progress,2024-02-14 11:54:19.157622-05:00,reviewer_004,complete,new_business,high,40.9
case_0023,health_inspection,2024-02-20 09:00:00-05:00,inspector_003,complete,new_business,high,63.0
case_0023,rejected,2024-02-26 09:00:00-05:00,,complete,new_business,high,0.0
case_0024,submitted,2024-01-02 09:00:00-05:00,,complete,renewal,high,0.0
case_0024,intake_validation,2024-01-04 09:00:00-05:00,clerk_003,complete,renewal,high,46.57
case_0024,assigned_to_reviewer,2024-01-08 09:00:00-05:00,,complete,renewal,high,0.0
case_0024,review_in_progress,2024-01-08 09:23:32.677749-05:00,reviewer_004,complete,renewal,high,77.04
case_0024,request_additional_info,2024-01-16 09:00:00-05:00,,complete,renewal,high,0.0
case_0024,applicant_provided_info,2024-01-19 09:00:00-05:00,,complete,renewal,high,0.0
case_0024,review_in_progress,2024-01-22 09:00:00-05:00,reviewer_001,complete,renewal,high,55.63
case_0024,health_inspection,2024-01-24 09:00:00-05:00,inspector_003,complete,renewal,high,42.35
case_0024,approved,2024-01-29 13:58:13.656172-05:00,,complete,renewal,high,0.0
case_0025,submitted,2024-01-02 09:00:00-05:00,,complete,renewal,low,0.0
case_0025,intake_validation,2024-01-04 09:00:00-05:00,clerk_002,complete,renewal,low,39.4
case_0025,assigned_to_reviewer,2024-01-08 09:00:00-05:00,,complete,renewal,low,0.0
case_0025,review_in_progress,2024-01-08 09:22:36.173504-05:00,reviewer_003,complete,renewal,low,36.17
case_0025,health_inspection,2024-01-12 09:00:00-05:00,inspector_003,complete,renewal,low,38.64
case_0025,approved,2024-01-16 09:00:00-05:00,,complete,renewal,low,0.0
case_0026,submitted,2024-01-02 09:00:00-05:00,,complete,existing_business,low,0.0
case_0026,intake_validation,2024-01-04 09:00:00-05:00,clerk_001,complete,existing_business,low,70.42
case_0026,assigned_to_reviewer,2024-01-08 09:00:00-05:00,,complete,existing_business,low,0.0
case_0026,review_in_progress,2024-01-08 09:18:35.477092-05:00,reviewer_001,complete,existing_business,low,53.71
case_0026,health_inspection,2024-01-10 09:00:00-05:00,inspector_001,complete,existing_business,low,60.12
case_0026,approved,2024-01-16 14:26:47.927259-05:00,,complete,existing_business,low,0.0
case_0027,submitted,2024-01-02 09:00:00-05:00,,complete,existing_business,high,0.0
case_0027,intake_validation,2024-01-04 09:00:00-05:00,clerk_002,complete,existing_business,high,41.09
case_0027,assigned_to_reviewer,2024-01-08 09:00:00-05:00,,complete,existing_business,high,0.0
case_0027,review_in_progress,2024-01-08 09:25:43.846529-05:00,reviewer_001,complete,existing_business,high,53.5
case_0027,health_inspection,2024-01-11 09:00:00-05:00,inspector_002,complete,existing_business,high,34.1
case_0027,approved,2024-01-16 09:00:00-05:00,,complete,existing_business,high,0.0
case_0028,submitted,2024-01-02 09:00:00-05:00,,complete,existing_business,normal,0.0
case_0028,intake_validation,2024-01-04 09:00:00-05:00,clerk_003,complete,existing_business,normal,95.2
case_0028,assigned_to_reviewer,2024-01-08 09:00:00-05:00,,complete,existing_business,normal,0.0
case_0028,review_in_progress,2024-01-08 09:20:37.868514-05:00,reviewer_004,complete,existing_business,normal,52.71
case_0028,health_inspection,2024-01-12 11:14:26.504449-05:00,inspector_001,complete,existing_business,normal,59.97
case_0028,approved,2024-01-16 09:00:00-05:00,,complete,existing_business,normal,0.0
case_0029,submitted,2024-01-02 09:00:00-05:00,,complete,renewal,normal,0.0
case_0029,intake_validation,2024-01-04 09:00:00-05:00,clerk_002,complete,renewal,normal,73.45
case_0029,assigned_to_reviewer,2024-01-08 09:00:00-05:00,,complete,renewal,normal,0.0
case_0029,review_in_progress,2024-01-08 09:16:12.200111-05:00,reviewer_003,complete,renewal,normal,37.85
case_0029,health_inspection,2024-01-16 09:00:00-05:00,inspector_001,complete,renewal,normal,41.17
case_0029,approved,2024-01-22 09:00:00-05:00,,complete,renewal,normal,0.0
case_0030,submitted,2024-01-02 09:00:00-05:00,,complete,renewal,normal,0.0
case_0030,intake_validation,2024-01-04 09:00:00-05:00,clerk_001,complete,renewal,normal,73.32
case_0030,assigned_to_reviewer,2024-01-05 09:00:00-05:00,,complete,renewal,normal,0.0
case_0030,review_in_progress,2024-01-05 09:12:00.529779-05:00,reviewer_004,complete,renewal,normal,60.09
case_0030,request_additional_info,2024-01-11 09:00:00-05:00,,complete,renewal,normal,0.0
case_0030,applicant_provided_info,2024-01-16 09:00:00-05:00,,complete,renewal,normal,0.0
case_0030,review_in_progress,2024-01-19 09:00:00-05:00,reviewer_003,complete,renewal,normal,33.17
case_0030,request_additional_info,2024-01-24 09:00:00-05:00,,complete,renewal,normal,0.0
case_0030,applicant_provided_info,2024-01-29 09:00:00-05:00,,complete,renewal,normal,0.0
case_0030,review_in_progress,2024-01-31 11:11:23.343904-05:00,reviewer_002,complete,renewal,normal,35.75
case_0030,health_inspection,2024-02-05 09:00:00-05:00,inspector_003,complete,renewal,normal,24.03
case_0030,approved,2024-02-12 09:00:00-05:00,,complete,renewal,normal,0.0
case_0031,submitted,2024-01-02 09:00:00-05:00,,complete,renewal,normal,0.0
case_0031,intake_validation,2024-01-04 09:00:00-05:00,clerk_003,complete,renewal,normal,39.72
case_0031,assigned_to_reviewer,2024-01-08 09:00:00-05:00,,complete,renewal,normal,0.0
case_0031,review_in_progress,2024-01-08 09:24:09.278142-05:00,reviewer_004,complete,renewal,normal,34.31
case_0031,request_additional_info,2024-01-11 09:00:00-05:00,,complete,renewal,normal,0.0
case_0031,applicant_provided_info,2024-01-16 09:00:00-05:00,,complete,renewal,normal,0.0
case_0031,review_in_progress,2024-01-18 11:54:51.213603-05:00,reviewer_003,complete,renewal,normal,50.59
case_0031,health_inspection,2024-01-22 09:00:00-05:00,inspector_003,complete,renewal,normal,58.79
case_0031,approved,2024-01-29 09:00:00-05:00,,complete,renewal,normal,0.0
case_0032,submitted,2024-01-02 09:00:00-05:00,,complete,renewal,normal,0.0
case_0032,intake_validation,2024-01-04 09:00:00-05:00,clerk_003,complete,renewal,normal,61.13
case_0032,assigned_to_reviewer,2024-01-08 09:00:00-05:00,,complete,renewal,normal,0.0
case_0032,review_in_progress,2024-01-08 09:18:11.866884-05:00,reviewer_004,complete,renewal,normal,48.61
case_0032,health_inspection,2024-01-11 16:18:48.791026-05:00,inspector_003,complete,renewal,normal,22.23
case_0032,approved,2024-01-16 09:00:00-05:00,,complete,renewal,normal,0.0
case_0033,submitted,2024-01-02 09:00:00-05:00,,complete,new_business,normal,0.0
case_0033,intake_validation,2024-01-04 09:00:00-05:00,clerk_002,complete,new_business,normal,48.65
case_0033,assigned_to_reviewer,2024-01-08 09:00:00-05:00,,complete,new_business,normal,0.0
case_0033,review_in_progress,2024-01-08 09:10:31.659418-05:00,reviewer_003,complete,new_business,normal,52.67
case_0033,request_additional_info,2024-01-10 12:19:05.039344-05:00,,complete,new_business,normal,0.0
case_0033,applicant_provided_info,2024-01-16 09:09:39.414434-05:00,,complete,new_business,normal,0.0
case_0033,review_in_progress,2024-01-19 09:00:00-05:00,reviewer_004,complete,new_business,normal,75.79
case_0033,health_inspection,2024-01-23 09:00:00-05:00,inspector_002,complete,new_business,normal,70.87
case_0033,approved,2024-01-29 09:00:00-05:00,,complete,new_business,normal,0.0
case_0034,submitted,2024-01-02 09:00:00-05:00,,complete,existing_business,normal,0.0
case_0034,intake_validation,2024-01-03 12:42:16.809302-05:00,clerk_003,complete,existing_business,normal,27.7
case_0034,assigned_to_reviewer,2024-01-05 09:00:00-05:00,,complete,existing_business,normal,0.0
case_0034,review_in_progress,2024-01-05 09:26:26.542021-05:00,reviewer_004,complete,existing_business,normal,40.46
case_0034,request_additional_info,2024-01-10 09:00:00-05:00,,complete,existing_business,normal,0.0
case_0034,applicant_provided_info,2024-01-11 14:10:10.093356-05:00,,complete,existing_business,normal,0.0
case_0034,review_in_progress,2024-01-16 09:00:00-05:00,reviewer_004,complete,existing_business,normal,58.96
case_0034,health_inspection,2024-01-22 09:00:00-05:00,inspector_002,complete,existing_business,normal,61.31
case_0034,approved,2024-01-29 09:00:00-05:00,,complete,existing_business,normal,0.0
case_0035,submitted,2024-01-02 09:00:00-05:00,,complete,new_business,normal,0.0
case_0035,intake_validation,2024-01-03 12:29:37.230348-05:00,clerk_002,complete,new_business,normal,38.34
case_0035,assigned_to_reviewer,2024-01-08 09:00:00-05:00,,complete,new_business,normal,0.0
case_0035,review_in_progress,2024-01-08 09:26:54.009022-05:00,reviewer_002,complete,new_business,normal,57.12
case_0035,health_inspection,2024-01-12 15:56:40.991206-05:00,inspector_001,complete,new_business,normal,45.66
case_0035,approved,2024-01-18 09:00:00-05:00,,complete,new_business,normal,0.0
case_0036,submitted,2024-01-02 09:00:00-05:00,,complete,new_business,normal,0.0
case_0036,intake_validation,2024-01-04 09:00:00-05:00,clerk_002,complete,new_business,normal,49.98
case_0036,assigned_to_reviewer,2024-01-08 09:00:00-05:00,,complete,new_business,normal,0.0
case_0036,review_in_progress,2024-01-08 09:11:41.576211-05:00,reviewer_003,complete,new_business,normal,78.98
case_0036,health_inspection,2024-01-16 09:00:00-05:00,inspector_002,complete,new_business,normal,47.03
case_0036,approved,2024-01-23 09:00:00-05:00,,complete,new_business,normal,0.0
case_0037,submitted,2024-01-02 09:00:00-05:00,,complete,renewal,normal,0.0
case_0037,intake_validation,2024-01-03 15:52:07.174686-05:00,clerk_002,complete,renewal,normal,69.15
case_0037,assigned_to_reviewer,2024-01-08 09:00:00-05:00,,complete,renewal,normal,0.0
case_0037,review_in_progress,2024-01-08 09:22:15.980820-05:00,reviewer_003,complete,renewal,normal,61.12
case_0037,health_inspection,2024-01-16 09:00:00-05:00,inspector_002,complete,renewal,normal,32.07
case_0037,approved,2024-01-22 09:00:00-05:00,,complete,renewal,normal,0.0
case_0038,submitted,2024-01-02 09:00:00-05:00,,complete,new_business,normal,0.0
case_0038,intake_validation,2024-01-03 12:10:18.606525-05:00,clerk_003,complete,new_business,normal,17.43
case_0038,assigned_to_reviewer,2024-01-08 09:00:00-05:00,,complete,new_business,normal,0.0
case_0038,review_in_progress,2024-01-08 09:17:33.860875-05:00,reviewer_004,complete,new_business,normal,43.61
case_0038,request_additional_info,2024-01-11 10:47:25.687546-05:00,,complete,new_business,normal,0.0
case_0038,withdrawn,2024-01-16 09:00:00-05:00,,complete,new_business,normal,0.0
case_0039,submitted,2024-01-02 09:00:00-05:00,,complete,renewal,normal,0.0
case_0039,intake_validation,2024-01-04 09:00:00-05:00,clerk_002,complete,renewal,normal,50.63
case_0039,assigned_to_reviewer,2024-01-08 09:00:00-05:00,,complete,renewal,normal,0.0
case_0039,review_in_progress,2024-01-08 09:22:08.170748-05:00,reviewer_004,complete,renewal,normal,47.57
case_0039,health_inspection,2024-01-16 09:00:00-05:00,inspector_001,complete,renewal,normal,64.38
case_0039,approved,2024-01-22 09:00:00-05:00,,complete,renewal,normal,0.0
case_0040,submitted,2024-01-02 09:00:00-05:00,,complete,new_business,high,0.0
case_0040,intake_validation,2024-01-04 09:00:00-05:00,clerk_003,complete,new_business,high,37.19
case_0040,assigned_to_reviewer,2024-01-08 09:00:00-05:00,,complete,new_business,high,0.0
case_0040,review_in_progress,2024-01-08 09:27:17.653404-05:00,reviewer_002,complete,new_business,high,38.15
case_0040,request_additional_info,2024-01-16 09:00:00-05:00,,complete,new_business,high,0.0
case_0040,applicant_provided_info,2024-01-18 09:00:00-05:00,,complete,new_business,high,0.0
case_0040,review_in_progress,2024-01-22 09:00:00-05:00,reviewer_002,complete,new_business,high,28.29
case_0040,health_inspection,2024-01-29 09:00:00-05:00,inspector_002,complete,new_business,high,78.09
case_0040,approved,2024-01-31 11:43:25.889984-05:00,,complete,new_business,high,0.0
case_0041,submitted,2024-01-02 09:00:00-05:00,,complete,new_business,normal,0.0
case_0041,intake_validation,2024-01-03 13:33:19.459771-05:00,clerk_003,complete,new_business,normal,40.98
case_0041,assigned_to_reviewer,2024-01-05 11:22:54.621060-05:00,,complete,new_business,normal,0.0
case_0041,review_in_progress,2024-01-05 11:43:14.511242-05:00,reviewer_004,complete,new_business,normal,50.31
case_0041,request_additional_info,2024-01-09 09:00:00-05:00,,complete,new_business,normal,0.0
case_0041,applicant_provided_info,2024-01-11 14:49:50.380788-05:00,,complete,new_business,normal,0.0
case_0041,review_in_progress,2024-01-16 09:00:00-05:00,reviewer_001,complete,new_business,normal,57.78
case_0041,request_additional_info,2024-01-19 12:03:35.363123-05:00,,complete,new_business,normal,0.0
case_0041,applicant_provided_info,2024-01-22 09:00:00-05:00,,complete,new_business,normal,0.0
case_0041,review_in_progress,2024-01-24 15:00:56.522597-05:00,reviewer_003,complete,new_business,normal,52.56
case_0041,health_inspection,2024-01-29 09:00:00-05:00,inspector_001,complete,new_business,normal,50.42
case_0041,approved,2024-01-30 14:45:48.355078-05:00,,complete,new_business,normal,0.0
